location,words,box_idx,time
"(1102, 4455)","(n port: Sasebo, Japan)15 MEU",8,"January 22, 2018 12:38 PM"
"(792, 1138)",USS Gerald ford,0,"January 22, 2018 12:38 PM"
"(798, 3839)",Ronald Reagan CSG,1,"January 22, 2018 12:38 PM"
"(805, 509)",(cVN-74),7,"January 22, 2018 12:38 PM"
"(1102, 4455)",Carl Vinson CSG,9,"January 22, 2018 12:38 PM"
"(781, 1129)",Uss Harry S. Truman ic∨N·75},2,"February 12, 2018 5:15 PM"
"(786, 3835)","IIn port: Sasebo, fapany",5,"February 12, 2018 5:15 PM"
"(817, 3768)",The odore Roo event (SG wasp ESG,3,"February 12, 2018 5:15 PM"
"(874, 2729)","IIn port: Sasebo, fapany",5,"February 12, 2018 5:15 PM"
"(878, 1045)",vo」 ima ARO,4,"February 12, 2018 5:15 PM"
"(1064, 3598)",Carl virion (SG,6,"February 12, 2018 5:15 PM"
"(1161, 3464)",Bonhomme Richard fsg,7,"February 12, 2018 5:15 PM"
"(786, 3835)",R幻na团 d reag出C5,0,"February 12, 2018 5:15 PM"
"(786, 3835)","(in part: YokOsuka, Japan)",1,"February 12, 2018 5:15 PM"
"(796, 3839)",Ronald reagan CSG(In port),2,"January 29, 2018 11:20 AM"
"(812, 1098)",USS Abraham Lincoln,4,"January 29, 2018 11:20 AM"
"(820, 432)",(CVN-74),1,"January 29, 2018 11:20 AM"
"(827, 3772)",Wasp ESg ( In port),5,"January 29, 2018 11:20 AM"
"(884, 2734)",Bonhomme Richard ESG Carl vinson CSG,8,"January 29, 2018 11:20 AM"
"(910, 3752)",Bonhomme Richard ESG Carl vinson CSG,8,"January 29, 2018 11:20 AM"
"(949, 4032)",Bonhomme Richard ESG Carl vinson CSG,8,"January 29, 2018 11:20 AM"
"(965, 316)",America arg,6,"January 29, 2018 11:20 AM"
"(812, 1098)",USS John c stennis,0,"January 29, 2018 11:20 AM"
"(884, 2734)",Theodore roosevelt csG,3,"January 29, 2018 11:20 AM"
"(965, 316)",(CVN-72),7,"January 29, 2018 11:20 AM"
"(965, 316)",15 MEU,9,"January 29, 2018 11:20 AM"
"(791, 1127)",Theodore roosevelt csg,0,"February 5, 2018 11:52 AM"
"(843, 3902)",Carl Vinson CSG,1,"February 5, 2018 11:52 AM"
"(887, 2732)",USS Abraham Lincoln(CVN-72),2,"February 5, 2018 11:52 AM"
"(1123, 3814)",Bonhomme richard esg,4,"February 5, 2018 11:52 AM"
"(887, 2732)",USS Harry s. truman( CVN-75),3,"February 5, 2018 11:52 AM"
"(801, 3837)","(In part: Yokosuka, Japany",3,"February 22, 2018 11:04 AM"
"(817, 1088)",【CvF·75,2,"February 22, 2018 11:04 AM"
"(832, 3771)",Was5S〔,5,"February 22, 2018 11:04 AM"
"(889, 2734)",Theodore r0 osevett o5〔,4,"February 22, 2018 11:04 AM"
"(929, 1566)",【CvF·75,2,"February 22, 2018 11:04 AM"
"(1164, 3686)",";g「【: Sasebo,Jap:?}",6,"February 22, 2018 11:04 AM"
"(1170, 3468)",tLdem Chelan. 1hdilandi,8,"February 22, 2018 11:04 AM"
"(817, 1088)",UJSS HaIry > TiLan3,0,"February 22, 2018 11:04 AM"
"(801, 3837)",Ronald reagan csg,1,"February 22, 2018 11:04 AM"
"(1164, 3686)",Bonhotrunt: Richard ESG (ari VinsontSG,7,"February 22, 2018 11:04 AM"
"(798, 3836)","(In port: Yokostlk3, Japan!",3,"February 26, 2018 11:12 AM"
"(813, 1082)",CVF∴75,2,"February 26, 2018 11:12 AM"
"(828, 3769)",255) tk,4,"February 26, 2018 11:12 AM"
"(885, 2731)",Iwo /ind ARG Theodore Roosevelt CSG,5,"February 26, 2018 11:12 AM"
"(921, 1628)",CVF∴75,2,"February 26, 2018 11:12 AM"
"(1162, 3640)","n;ort:sd5Fh们,Jaa}",6,"February 26, 2018 11:12 AM"
"(1165, 3466)",fLaem Cteebarg. Thailand),8,"February 26, 2018 11:12 AM"
"(813, 1082)",Uss Harry> Nardil,0,"February 26, 2018 11:12 AM"
"(798, 3836)",Rosald reagan ts(,1,"February 26, 2018 11:12 AM"
"(1162, 3640)",Ba扑 honinttee Richard EsG〔 er Vin5S,7,"February 26, 2018 11:12 AM"
"(674, 471)",USS Essex(LHD-2,1,"May 7, 2018 10:30 AM"
"(780, 2503)",USS Kearsarge(LHD-3,2,"May 7, 2018 10:30 AM"
"(793, 3839)","(Sasebo, Japan)",8,"May 7, 2018 10:30 AM"
"(799, 1106)",USS Kearsarge(LHD-3,2,"May 7, 2018 10:30 AM"
"(828, 3774)","(Yokosuka, Japan)",6,"May 7, 2018 10:30 AM"
"(829, 494)",Theodore,7,"May 7, 2018 10:30 AM"
"(885, 2532)",Iwo Jima ARG,12,"May 7, 2018 10:30 AM"
"(891, 1062)",USS Abraham Lincoln,10,"May 7, 2018 10:30 AM"
"(1185, 3162)",USNS Mercy(T-AH-19),14,"May 7, 2018 10:30 AM"
"(674, 471)",USS John C Stennis (CVN-74),0,"May 7, 2018 10:30 AM"
"(780, 2503)",Harry s. truman CSG,3,"May 7, 2018 10:30 AM"
"(793, 3839)",Ronald Reagan cSg,4,"May 7, 2018 10:30 AM"
"(793, 3839)",Wasp ESG,5,"May 7, 2018 10:30 AM"
"(891, 1062)",Roosevelt csg,9,"May 7, 2018 10:30 AM"
"(891, 1062)",USS Bonhomme Richard (CVN-72),11,"May 7, 2018 10:30 AM"
"(829, 494)",(LHD-6),13,"May 7, 2018 10:30 AM"
"(1185, 3162)","(Trincomalee, Sri Lanka)",15,"May 7, 2018 10:30 AM"
"(752, 2068)",Harry s. Truman CSG,4,"April 30, 2018 11:15 AM"
"(778, 1139)",(CVN-72),3,"April 30, 2018 11:15 AM"
"(796, 3843)","Sasebo, Japan)",8,"April 30, 2018 11:15 AM"
"(827, 481)",(LHD-2),7,"April 30, 2018 11:15 AM"
"(830, 3778)","(Yokosuka, Japan)",6,"April 30, 2018 11:15 AM"
"(882, 1022)",USS Kearsarge(LHD-3),9,"April 30, 2018 11:15 AM"
"(887, 2533)",Iwo Jima arg,10,"April 30, 2018 11:15 AM"
"(913, 4534)",USS Bonhomme Richard(LHD-6),11,"April 30, 2018 11:15 AM"
"(1209, 3177)",Theodore Roosevelt CSg,15,"April 30, 2018 11:15 AM"
"(752, 2068)",USS Abraham Lincoln,0,"April 30, 2018 11:15 AM"
"(796, 3843)",Ronald Reagan CSG,1,"April 30, 2018 11:15 AM"
"(827, 481)",USS Essex,2,"April 30, 2018 11:15 AM"
"(796, 3843)",Wasp esg,5,"April 30, 2018 11:15 AM"
"(882, 1022)","(Port Everglades, FLa",12,"April 30, 2018 11:15 AM"
"(1209, 3177)","(Pearl Harbor, Hawaii",13,"April 30, 2018 11:15 AM"
"(1209, 3177)",USNS Mercy(T-AH-19,14,"April 30, 2018 11:15 AM"
"(1209, 3177)","(Trincomalee, Sri Lanka) (Peal Harbor, Hawaii)",16,"April 30, 2018 11:15 AM"
"(763, 1132)",USS George H W. Bush (CVN-77),1,"October 30, 2017 1:27 PM"
"(766, 3761)",Ronald Reagan CSg,2,"October 30, 2017 1:27 PM"
"(852, 1060)",USS Harry S. Truman(CVN-75,3,"October 30, 2017 1:27 PM"
"(863, 481)",USS Carl vinson,5,"October 30, 2017 1:27 PM"
"(903, 4230)",USS Theodore roosevelt,8,"October 30, 2017 1:27 PM"
"(1067, 1188)",USS Abraham Lincoln(CVN-72),6,"October 30, 2017 1:27 PM"
"(1099, 2810)",15 MEU,7,"October 30, 2017 1:27 PM"
"(1227, 3155)",Nimitz CSG,12,"October 30, 2017 1:27 PM"
"(763, 1132)",USS lwo Jima(LHD-7,0,"October 30, 2017 1:27 PM"
"(766, 3761)",America ARG,4,"October 30, 2017 1:27 PM"
"(863, 481)",(CVN-70),9,"October 30, 2017 1:27 PM"
"(1067, 1188)",USS Kearsarge(LHD-3,10,"October 30, 2017 1:27 PM"
"(1227, 3155)",(CVN-71,11,"October 30, 2017 1:27 PM"
"(611, 522)",(CVN-74),2,"November 6, 2017 9:09 PM"
"(759, 1135)",USS Gerald R. Ford (cvN-78,3,"November 6, 2017 9:09 PM"
"(762, 3761)",Ronald reagan CSG,5,"November 6, 2017 9:09 PM"
"(848, 1063)",USS Abraham Lincoln(CVN-72),7,"November 6, 2017 9:09 PM"
"(859, 483)",USS Carl Vinson,8,"November 6, 2017 9:09 PM"
"(908, 2764)",15 MEU,6,"November 6, 2017 9:09 PM"
"(1035, 3882)",Theodore roosevelt csg,9,"November 6, 2017 9:09 PM"
"(1206, 3518)",Nimitz csg,11,"November 6, 2017 9:09 PM"
"(611, 522)",USS John C stennis,0,"November 6, 2017 9:09 PM"
"(611, 522)",USS Iwo Jima(LHD-7),1,"November 6, 2017 9:09 PM"
"(762, 3761)",America ARG,4,"November 6, 2017 9:09 PM"
"(859, 483)",(CVN-70),10,"November 6, 2017 9:09 PM"
"(781, 1132)",USS lwo Jima(LHD-7),0,"November 27, 2017 2:18 PM"
"(837, 3826)",Nimitz CSG,3,"November 27, 2017 2:18 PM"
"(855, 2723)",15 MEU,2,"November 27, 2017 2:18 PM"
"(917, 4530)",Ronald Reagan CSG (In port,4,"November 27, 2017 2:18 PM"
"(1116, 2971)",Theodore roosevelt cSG,6,"November 27, 2017 2:18 PM"
"(1335, 1579)",USS Wasp (LHD-1),7,"November 27, 2017 2:18 PM"
"(855, 2723)",America ARG,1,"November 27, 2017 2:18 PM"
"(917, 4530)",Pearl Harbor,5,"November 27, 2017 2:18 PM"
"(764, 1132)",USS George H.W. Bush(CVN-77,4,"December 11, 2017 10:37 AM"
"(798, 3839)","(In port: Yokosuka, Japan)",5,"December 11, 2017 10:37 AM"
"(819, 1064)",USS lwo Jima (LHD-7,7,"December 11, 2017 10:37 AM"
"(829, 3772)",Theodore Roosevelt csg,6,"December 11, 2017 10:37 AM"
"(886, 2734)",America arg,9,"December 11, 2017 10:37 AM"
"(925, 2775)",America arg,9,"December 11, 2017 10:37 AM"
"(2122, 1282)",(LHD-1,14,"December 11, 2017 10:37 AM"
"(764, 1132)","USS Gerald R, Ford (cvN-78)",0,"December 11, 2017 10:37 AM"
"(764, 1132)",USS Harry S. Truman(CVN-75),1,"December 11, 2017 10:37 AM"
"(764, 1132)",USS Abraham Lincoln(CVN-72),2,"December 11, 2017 10:37 AM"
"(798, 3839)",Ronald Reagan CSg,3,"December 11, 2017 10:37 AM"
"(829, 3772)",Bonhomme richard esg,8,"December 11, 2017 10:37 AM"
"(829, 3772)","(In port: Sasebo, Japan)",10,"December 11, 2017 10:37 AM"
"(925, 2775)",15 MEU,11,"December 11, 2017 10:37 AM"
"(925, 2775)","(In port: Manama, Bahrain)",12,"December 11, 2017 10:37 AM"
"(2122, 1282)",USS Wasp,13,"December 11, 2017 10:37 AM"
"(795, 3839)","(In port: Yokosuka, Japan)",1,"December 18, 2017 12:13 PM"
"(826, 3772)",Theodore roosevelt csg,2,"December 18, 2017 12:13 PM"
"(882, 2734)",Bonhomme richard eSg,3,"December 18, 2017 12:13 PM"
"(1180, 3087)",America ARG,5,"December 18, 2017 12:13 PM"
"(1390, 699)",USS Wasp,7,"December 18, 2017 12:13 PM"
"(795, 3839)",Ronald reagan CSg,0,"December 18, 2017 12:13 PM"
"(826, 3772)","(In port: Sasebo, Japan)",4,"December 18, 2017 12:13 PM"
"(1180, 3087)",15 MEU,6,"December 18, 2017 12:13 PM"
"(1390, 699)",(LHD-1,8,"December 18, 2017 12:13 PM"
"(746, 1151)",USS Kearsarge(LHD-3),1,"November 20, 2017 3:02 PM"
"(753, 3760)",Ronald reagan CSG,2,"November 20, 2017 3:02 PM"
"(901, 2761)",15 MEU,4,"November 20, 2017 3:02 PM"
"(933, 1060)",USS Wasp(LHD-1,5,"November 20, 2017 3:02 PM"
"(1069, 4138)",Nimitz csg,6,"November 20, 2017 3:02 PM"
"(1221, 3500)",Theodore roosevelt csg,7,"November 20, 2017 3:02 PM"
"(746, 1151)",USS lwo Jima(LHD-7),0,"November 20, 2017 3:02 PM"
"(753, 3760)",America aRG,3,"November 20, 2017 3:02 PM"
"(737, 504)",(CVN-68),1,"December 5, 2017 9:49 AM"
"(763, 1135)",USS Gerald R. Ford( CVN-78),2,"December 5, 2017 9:49 AM"
"(797, 3842)",Ronald reagan CSg,4,"December 5, 2017 9:49 AM"
"(829, 3776)",Bonhomme richard esg,7,"December 5, 2017 9:49 AM"
"(852, 1063)",USS lwo Jima(LHD-7),6,"December 5, 2017 9:49 AM"
"(885, 2737)",15 MEU,5,"December 5, 2017 9:49 AM"
"(925, 2778)",Theodore roosevelt csg,8,"December 5, 2017 9:49 AM"
"(1463, 1656)",USS Wasp,9,"December 5, 2017 9:49 AM"
"(737, 504)",USS Nimitz,0,"December 5, 2017 9:49 AM"
"(885, 2737)",America ARG,3,"December 5, 2017 9:49 AM"
"(1463, 1656)",(LHD-1,10,"December 5, 2017 9:49 AM"
"(764, 1129)",USS Abraham Lincoln(CVN-72),0,"October 23, 2017 12:19 PM"
"(778, 3707)",Ronald Reagan CSg,1,"October 23, 2017 12:19 PM"
"(854, 1057)",USS George H.W. Bush(CVN-77),2,"October 23, 2017 12:19 PM"
"(894, 2742)",Nimitz CSG,4,"October 23, 2017 12:19 PM"
"(985, 4569)",USS Theodore roosevelt,5,"October 23, 2017 12:19 PM"
"(1078, 1147)",USS Kearsarge(LHD-3),6,"October 23, 2017 12:19 PM"
"(1123, 2721)",America arg,7,"October 23, 2017 12:19 PM"
"(854, 1057)",USS Harry S. Truman(CVN-75),3,"October 23, 2017 12:19 PM"
"(1123, 2721)",(CVN-71,8,"October 23, 2017 12:19 PM"
"(1078, 1147)",USS Wasp(LHD-1),9,"October 23, 2017 12:19 PM"
"(1123, 2721)",15 MEU,10,"October 23, 2017 12:19 PM"
"(826, 519)",USS Essex(LHD-2),1,"October 10, 2017 11:44 AM"
"(894, 2743)",Nimitz CSG,2,"October 10, 2017 11:44 AM"
"(988, 3568)",Ronald reagan CSG,5,"October 10, 2017 11:44 AM"
"(1053, 2617)",America arg,4,"October 10, 2017 11:44 AM"
"(1078, 1149)",USS Kearsarge(LHD-3),3,"October 10, 2017 11:44 AM"
"(826, 519)",USS Theodore roosevelt(CVN-71),0,"October 10, 2017 11:44 AM"
"(1053, 2617)",15 MEU,6,"October 10, 2017 11:44 AM"
"(1078, 1149)",USS Wasp(LHD-1),7,"October 10, 2017 11:44 AM"
"(819, 1092)",USS Gerald R. Ford(CVN-78),2,"October 3, 2017 7:41 AM"
"(828, 3785)",31 MEU,1,"October 3, 2017 7:41 AM"
"(895, 2745)",Nimitz CSG,3,"October 3, 2017 7:41 AM"
"(989, 3569)",Ronald reagan CSG,6,"October 3, 2017 7:41 AM"
"(1054, 2619)",America arg,5,"October 3, 2017 7:41 AM"
"(1079, 1152)",USS Kearsarge(LHD-3),4,"October 3, 2017 7:41 AM"
"(828, 3785)",Bonhomme richard ESg,0,"October 3, 2017 7:41 AM"
"(1054, 2619)",5 MEU,7,"October 3, 2017 7:41 AM"
"(1079, 1152)",USS Wasp(LHD-1),8,"October 3, 2017 7:41 AM"
"(735, 3765)",Ronald Reagan CSG,1,"October 16, 2017 11:31 AM"
"(768, 1132)",USS Harry S. Truman(CVN-75),0,"October 16, 2017 11:31 AM"
"(832, 184)",USS Theodore Roosevelt(CVN-71),2,"October 16, 2017 11:31 AM"
"(894, 2744)",Nimitz CSG,3,"October 16, 2017 11:31 AM"
"(1078, 1150)",USS Kearsarge(LHD-3),4,"October 16, 2017 11:31 AM"
"(1123, 2723)",America ARG,6,"October 16, 2017 11:31 AM"
"(1078, 1150)",USS Wasp(LHD-1),5,"October 16, 2017 11:31 AM"
"(1123, 2723)",15 MEU,7,"October 16, 2017 11:31 AM"
"(797, 3843)","(In port: Yokosuka, Japan)",1,"January 2, 2018 12:42 PM"
"(828, 3776)",Bonhomme richard esg,3,"January 2, 2018 12:42 PM"
"(885, 2736)",Theodore roosevelt Csg,2,"January 2, 2018 12:42 PM"
"(1086, 4543)",USS Wasp,5,"January 2, 2018 12:42 PM"
"(1269, 3886)",(LHD-1,6,"January 2, 2018 12:42 PM"
"(797, 3843)",Ronald reagan CSG,0,"January 2, 2018 12:42 PM"
"(1086, 4543)","(In port: Sasebo, Japan)",4,"January 2, 2018 12:42 PM"
"(1269, 3886)",America ARG,7,"January 2, 2018 12:42 PM"
"(1269, 3886)",15 MEU,8,"January 2, 2018 12:42 PM"
"(761, 1131)",USS Abraham Lincoln(CVN-72),0,"October 26, 2017 4:38 PM"
"(793, 3728)",Ronald Reagan CSG,1,"October 26, 2017 4:38 PM"
"(935, 4202)",Theodore roosevelt csg,5,"October 26, 2017 4:38 PM"
"(998, 2884)",15 MEU,4,"October 26, 2017 4:38 PM"
"(1075, 1149)",USS Kearsarge(LHD-3),6,"October 26, 2017 4:38 PM"
"(1244, 3106)",Nimitz CSg,8,"October 26, 2017 4:38 PM"
"(793, 3728)",America ARG,2,"October 26, 2017 4:38 PM"
"(761, 1131)",USS George H.W. Bush(CVN-77,3,"October 26, 2017 4:38 PM"
"(1075, 1149)",USS Wasp(LHD-1),7,"October 26, 2017 4:38 PM"
"(1244, 3106)",USS Harry S. Truman(CVN-75),9,"October 26, 2017 4:38 PM"
"(716, 59)",Carl Vinson CSG,1,"January 16, 2018 10:47 AM"
"(791, 1138)",(CVN-78),3,"January 16, 2018 10:47 AM"
"(798, 3843)","(In port: Yokosuka, Japan)",4,"January 16, 2018 10:47 AM"
"(804, 508)",USS Essex,6,"January 16, 2018 10:47 AM"
"(829, 3776)",Theodore roosevelt csg,5,"January 16, 2018 10:47 AM"
"(885, 2737)",Bonhomme richard esg,7,"January 16, 2018 10:47 AM"
"(1103, 4460)",America ARG,10,"January 16, 2018 10:47 AM"
"(791, 1138)",USS Geraldr ford,0,"January 16, 2018 10:47 AM"
"(798, 3843)",Ronald Reagan CSG,2,"January 16, 2018 10:47 AM"
"(804, 508)",(LHD-2),8,"January 16, 2018 10:47 AM"
"(1103, 4460)","(In port: Sasebo, Japan)",9,"January 16, 2018 10:47 AM"
"(1103, 4460)",15 MEU,11,"January 16, 2018 10:47 AM"
"(742, 474)",Carl Vinson CSG,2,"January 8, 2018 1:09 PM"
"(796, 3839)","(In port: Yokosuka, Japan)",1,"January 8, 2018 1:09 PM"
"(826, 4108)",USS Wasp,4,"January 8, 2018 1:09 PM"
"(827, 3772)",Theodore roosevelt csg,3,"January 8, 2018 1:09 PM"
"(884, 2736)",Bonhomme Richard ESG (LHD-1,5,"January 8, 2018 1:09 PM"
"(1158, 4036)","(In port: Sasebo, Japan)",6,"January 8, 2018 1:09 PM"
"(796, 3839)",Ronald reagan CSG,0,"January 8, 2018 1:09 PM"
"(1158, 4036)",America ARG,7,"January 8, 2018 1:09 PM"
"(1158, 4036)",15 MEU,8,"January 8, 2018 1:09 PM"
"(797, 2462)",Iwo jind ARI,2,"March 12, 2018 12:16 PM"
"(797, 3835)",Bonhomme richard esg,4,"March 12, 2018 12:16 PM"
"(824, 436)",USS ESSEx (LHD-2),1,"March 12, 2018 12:16 PM"
"(905, 2757)",Iwo jind ARI,2,"March 12, 2018 12:16 PM"
"(905, 3761)","Theodore Roosevelt(SG Okinldwd, Japan]",5,"March 12, 2018 12:16 PM"
"(957, 3814)","Theodore Roosevelt(SG Okinldwd, Japan]",5,"March 12, 2018 12:16 PM"
"(1088, 3615)",WusP ESG,6,"March 12, 2018 12:16 PM"
"(797, 3835)",onald Reagan(SG,0,"March 12, 2018 12:16 PM"
"(797, 3835)","rYokosiaka, la pan)",3,"March 12, 2018 12:16 PM"
"(1088, 3615)",Latt Vinsou(Sg,7,"March 12, 2018 12:16 PM"
"(792, 2491)","USS AhrahaT, L.incoir(CVrJ 72) (LImassol, Cyprus",2,"March 19, 2018 12:20 PM"
"(793, 1144)","USS AhrahaT, L.incoir(CVrJ 72) (LImassol, Cyprus",2,"March 19, 2018 12:20 PM"
"(798, 3837)","(Yokosuka, japan)",3,"March 19, 2018 12:20 PM"
"(844, 490)",USS ESSex(LHD). 2),5,"March 19, 2018 12:20 PM"
"(882, 2721)",theodore Roosevelt CSG,6,"March 19, 2018 12:20 PM"
"(886, 3771)",Wasp Esg,4,"March 19, 2018 12:20 PM"
"(1049, 3733)",Car vinson CSG,8,"March 19, 2018 12:20 PM"
"(792, 2491)",JwO Fina ARG,0,"March 19, 2018 12:20 PM"
"(798, 3837)",Ronid rededn ity,1,"March 19, 2018 12:20 PM"
"(886, 3771)",Bonhorrne richard ESG,7,"March 19, 2018 12:20 PM"
"(710, 472)",∪ SS Essex{LHD2),3,"April 2, 2018 12:26 PM"
"(732, 1176)",uss (george H W Bush[ CV[4-77,0,"April 2, 2018 12:26 PM"
"(792, 3836)","[Yeakosukd, Dpd!",2,"April 2, 2018 12:26 PM"
"(881, 3770)",Wasp ESC,4,"April 2, 2018 12:26 PM"
"(926, 4445)",Cail vinson SG,7,"April 2, 2018 12:26 PM"
"(1106, 2750)",w合;ARG1,8,"April 2, 2018 12:26 PM"
"(1284, 3514)",ThO续 ra Roosevelt Ls,9,"April 2, 2018 12:26 PM"
"(792, 3836)",Ronald Redd(SG,1,"April 2, 2018 12:26 PM"
"(732, 1176)",USS John (. Stennis (CVrd. 74),5,"April 2, 2018 12:26 PM"
"(881, 3770)",Bonhomme richard ESU,6,"April 2, 2018 12:26 PM"
"(792, 2493)","[Limassol, Cyprus]",4,"March 26, 2018 11:03 AM"
"(793, 1148)",丿ss〔 herge H w.Bush〔VN77,3,"March 26, 2018 11:03 AM"
"(797, 3838)","Yokosuka, apank",5,"March 26, 2018 11:03 AM"
"(886, 3771)",Wasp Esg,6,"March 26, 2018 11:03 AM"
"(950, 2865)",omho; me Richar(ES〔,7,"March 26, 2018 11:03 AM"
"(1054, 3976)",C ari vinson(5t?,9,"March 26, 2018 11:03 AM"
"(793, 1148)",USS Abrshan LincoIn (CVN-72,0,"March 26, 2018 11:03 AM"
"(792, 2493)",Jwo ima Arg,1,"March 26, 2018 11:03 AM"
"(797, 3838)",Ronald reagan (Si),2,"March 26, 2018 11:03 AM"
"(950, 2865)",Theodore roosevelt tsg,8,"March 26, 2018 11:03 AM"
"(780, 2480)",Harry S. Truman CSG Wasp ESG,2,"May 21, 2018 10:38 AM"
"(793, 3839)","(Sasebo, Japan)",4,"May 21, 2018 10:38 AM"
"(799, 1104)",USS Gerald R. Ford(CvN-78,1,"May 21, 2018 10:38 AM"
"(828, 3773)","(Yokosuka, Japan)",3,"May 21, 2018 10:38 AM"
"(885, 2530)",Iwo Jima Arg,5,"May 21, 2018 10:38 AM"
"(1122, 3557)",USNS Mercy(T-AH-19,6,"May 21, 2018 10:38 AM"
"(793, 3839)",Ronald Reagan CSg,0,"May 21, 2018 10:38 AM"
"(1122, 3557)","(Nha Trang, vietnam)",7,"May 21, 2018 10:38 AM"
"(789, 2483)",Harry s. Truman CSG Wasp ESG,1,"May 28, 2018 10:26 AM"
"(802, 3842)","(Sasebo, Japan)",3,"May 28, 2018 10:26 AM"
"(836, 3777)","Yokosuka, Japan)",2,"May 28, 2018 10:26 AM"
"(893, 2534)",Iwo Jima ARg,4,"May 28, 2018 10:26 AM"
"(1143, 3553)",USNS Mercy(T-AH-19,5,"May 28, 2018 10:26 AM"
"(802, 3842)",Ronald Reagan cSg,0,"May 28, 2018 10:26 AM"
"(1143, 3553)",(Nha Trang Vietnam,6,"May 28, 2018 10:26 AM"
"(689, 464)",USS Essex(LHD-2),1,"June 4, 2018 10:42 AM"
"(757, 2316)",Harry S. Truman CSG,0,"June 4, 2018 10:42 AM"
"(779, 1140)",USS Gerald Ford (CVN-78,3,"June 4, 2018 10:42 AM"
"(831, 3778)","(Sasebo, Japan)",4,"June 4, 2018 10:42 AM"
"(845, 3857)",Ronald reagan CSg,5,"June 4, 2018 10:42 AM"
"(934, 2554)",Iwo Jima ARG,6,"June 4, 2018 10:42 AM"
"(831, 3778)",Wasp ESG,2,"June 4, 2018 10:42 AM"
"(675, 1187)","(Earle, N.J.)",1,"June 11, 2018 11:39 AM"
"(753, 2312)",USS Essex(LHD-2) USS George H.W. Bush(CVN-77),6,"June 11, 2018 11:39 AM"
"(776, 1136)",USS Essex(LHD-2) USS George H.W. Bush(CVN-77),6,"June 11, 2018 11:39 AM"
"(780, 3839)","Sasebo, Japan)",7,"June 11, 2018 11:39 AM"
"(797, 501)","(Earle, N.J.)",1,"June 11, 2018 11:39 AM"
"(828, 3773)",Ronald reagan csg,8,"June 11, 2018 11:39 AM"
"(864, 3842)",Ronald reagan csg,8,"June 11, 2018 11:39 AM"
"(1111, 2710)",Iwo Jima ARG,9,"June 11, 2018 11:39 AM"
"(675, 1187)",USS Kearsarge(LHD-4),0,"June 11, 2018 11:39 AM"
"(780, 3839)",USNS Mercy(T-AH-19),2,"June 11, 2018 11:39 AM"
"(753, 2312)",Harry s. truman CSg,3,"June 11, 2018 11:39 AM"
"(780, 3839)",Wasp ESG,4,"June 11, 2018 11:39 AM"
"(780, 3839)","(Yokosuka, Japan)",5,"June 11, 2018 11:39 AM"
"(748, 1139)",Iwo Jima ARG,2,"July 23, 2018 9:11 AM"
"(759, 1983)",USS George H W. Bush(CVN-77,0,"July 23, 2018 9:11 AM"
"(781, 3869)",USS Bonhomme Richard (LHD-6),3,"July 23, 2018 9:11 AM"
"(819, 3731)",Wasp ESG Ronald Reagan CSG,1,"July 23, 2018 9:11 AM"
"(916, 4519)",Carl Vinson CSG,4,"July 23, 2018 9:11 AM"
"(1011, 4463)",USS Bonhomme Richard (LHD-6),3,"July 23, 2018 9:11 AM"
"(1011, 4463)",Essex ARG,5,"July 23, 2018 9:11 AM"
"(726, 1181)",Iwo Jima ARG,6,"August 6, 2018 11:35 AM"
"(777, 447)",USS John C Stennis(CVN-74),7,"August 6, 2018 11:35 AM"
"(777, 1157)",USS Boxer(LHD-4),3,"August 6, 2018 11:35 AM"
"(781, 3869)",Essex ARG,9,"August 6, 2018 11:35 AM"
"(788, 543)",USS John C Stennis(CVN-74),7,"August 6, 2018 11:35 AM"
"(819, 3730)",Essex ARG,9,"August 6, 2018 11:35 AM"
"(832, 3992)","(Sasebo, Japan)",8,"August 6, 2018 11:35 AM"
"(916, 4518)",Carl vinson csg,11,"August 6, 2018 11:35 AM"
"(726, 1181)",USS Abraham Lincoln(CVN-72),0,"August 6, 2018 11:35 AM"
"(726, 1181)",USS George H W. Bush(CVN-77,1,"August 6, 2018 11:35 AM"
"(781, 3869)",Ronald reagan csg,2,"August 6, 2018 11:35 AM"
"(781, 3869)",Wasp esG,4,"August 6, 2018 11:35 AM"
"(781, 3869)","(Yokosuka, Japan)",5,"August 6, 2018 11:35 AM"
"(788, 543)","(San Diego, Calif",10,"August 6, 2018 11:35 AM"
"(674, 489)",USS Abraham Lincoln(CVN-72),1,"July 30, 2018 11:20 AM"
"(736, 1153)",USS John C Stennis(CVN-74),0,"July 30, 2018 11:20 AM"
"(781, 3868)",Was,2,"July 30, 2018 11:20 AM"
"(819, 3730)",sp ESG Ronald Reagan CSG,3,"July 30, 2018 11:20 AM"
"(862, 1528)",Iwo Jima Arg,4,"July 30, 2018 11:20 AM"
"(892, 4251)",Essex ARg,5,"July 30, 2018 11:20 AM"
"(916, 4518)",Carl Vinson CSG,6,"July 30, 2018 11:20 AM"
"(955, 4476)",Carl Vinson CSG,6,"July 30, 2018 11:20 AM"
"(955, 4476)",USS Bonhomme Richard,7,"July 30, 2018 11:20 AM"
"(955, 4476)",(LHD-6),8,"July 30, 2018 11:20 AM"
"(747, 1181)",USS Abraham Lincoln(CVN-72),1,"August 13, 2018 12:57 PM"
"(774, 491)",USS John C Stennis (CVN-74),3,"August 13, 2018 12:57 PM"
